,Unnamed: 0,feature,class_label
28,28,"[[-62.99762985 -58.41096305 -57.47122319 ... -51.39345815 -60.64997233
    0.        ]
 [ 76.57304739  79.92632303  81.40541255 ...  76.84879371  68.72796427
    0.        ]
 [-43.4729271  -47.14458001 -52.32885869 ... -48.33259258 -49.60688178
    0.        ]
 ...
 [  2.74085732   0.95763616   2.62140481 ...  -1.74529566  -3.39261819
    0.        ]
 [ -5.54500363  -4.83597509  -1.67477759 ...  -0.79195109  -2.98568647
    0.        ]
 [  0.53861701  -1.32297987   0.81485247 ...   1.98935973   0.13862938
    0.        ]]",noise
29,29,"[[-60.71174246 -56.04053637 -58.89990538 ... -55.98511262 -54.44462982
    0.        ]
 [ 79.38189866  81.53600583  76.59245669 ...  78.98708053  76.80781514
    0.        ]
 [-52.094105   -54.45360056 -53.69763763 ... -49.5071925  -43.79530592
    0.        ]
 ...
 [ -1.22313799  -0.75721374   3.21667212 ...   2.13584432   2.92713944
    0.        ]
 [  4.61202417  -2.64071169  -5.99690749 ...  -2.0312405    1.61188462
    0.        ]
 [ -0.10535382  -2.48270464   0.54845537 ...  -4.0998871   -2.24050084
    0.        ]]",noise
30,30,"[[-58.79442403 -53.96416868 -53.19843208 ... -57.5687285  -61.15643604
    0.        ]
 [ 74.93872217  80.70053501  79.57064272 ...  79.22235405  73.55369715
    0.        ]
 [-48.75176533 -48.8476437  -46.1503468  ... -47.15258045 -44.02620507
    0.        ]
 ...
 [ -2.61770551  -0.79370697   2.9419529  ...   2.04149828  -0.74704877
    0.        ]
 [  5.10935965   2.65061394  -0.44744707 ...  -0.69671197  -2.74205938
    0.        ]
 [ 10.08614452   6.47978934   0.34370332 ...  -4.55977696  -6.33601687
    0.        ]]",noise
31,31,"[[-52.35240353 -49.17537341 -55.40594384 ... -52.38779991 -53.23663118
    0.        ]
 [ 79.91630269  78.37529659  76.99381605 ...  79.2973324   78.48035198
    0.        ]
 [-50.58787813 -54.74408881 -52.69820875 ... -41.13850861 -41.0450003
    0.        ]
 ...
 [  6.13030955   3.79403882  -0.19421556 ...   2.01138119   2.66726627
    0.        ]
 [  1.5969923    1.06316971  -3.80414059 ...  -5.80043242   0.1497419
    0.        ]
 [  5.43256036   2.68388209   0.9960906  ...  -0.63817422   0.96501333
    0.        ]]",noise
32,32,"[[-4.88798617e+01 -4.40464297e+01 -5.18659780e+01 ... -5.53072756e+01
  -5.88482947e+01  0.00000000e+00]
 [ 7.83726186e+01  8.65585656e+01  8.82697237e+01 ...  7.93650953e+01
   6.51800828e+01  0.00000000e+00]
 [-4.07423222e+01 -4.30446797e+01 -4.99393848e+01 ... -4.75629607e+01
  -4.57933728e+01  0.00000000e+00]
 ...
 [ 1.79772110e-02  1.11777938e+00  4.52434577e+00 ... -5.13229764e-01
  -2.19981806e+00  0.00000000e+00]
 [ 3.64663564e+00  1.60267447e+00 -3.88547977e+00 ... -5.02198612e+00
  -5.09770484e+00  0.00000000e+00]
 [ 7.11207967e-01 -1.94313683e+00 -6.51190687e-01 ... -2.91049649e+00
  -7.18903169e+00  0.00000000e+00]]",noise
33,33,"[[-54.53160811 -50.11342722 -51.37507776 ... -55.77951115 -62.17528279
    0.        ]
 [ 85.98240742  86.07755072  85.28822145 ...  86.60611628  77.03827908
    0.        ]
 [-51.1860266  -56.51243551 -55.05961927 ... -48.32175241 -48.58267522
    0.        ]
 ...
 [ -2.84981907  -0.90710324   0.21810124 ...  -0.51959631  -0.33862221
    0.        ]
 [ -5.79261951  -3.82923052  -2.81789498 ...  -4.74611628  -6.97704653
    0.        ]
 [ -3.77948002  -2.25059161   0.20000693 ...   2.73055175   0.99485279
    0.        ]]",noise
34,34,"[[-5.26603929e+01 -4.28025351e+01 -4.52199047e+01 ... -4.68875734e+01
  -4.53773794e+01  0.00000000e+00]
 [ 6.88477958e+01  7.33481936e+01  8.57811646e+01 ...  8.86681334e+01
   8.04659336e+01  0.00000000e+00]
 [-4.26297769e+01 -4.68792594e+01 -5.03209551e+01 ... -5.13376037e+01
  -5.33428645e+01  0.00000000e+00]
 ...
 [-1.48874706e+00  8.82750293e-01  5.70577432e+00 ...  6.65188743e+00
   4.52471248e+00  0.00000000e+00]
 [-5.77880868e+00 -1.15144085e+00 -1.09762431e-01 ... -4.81134397e+00
  -5.43861239e-01  0.00000000e+00]
 [-2.80344959e+00 -6.73418363e-02  5.25593416e+00 ...  1.58659196e+00
   3.15856331e+00  0.00000000e+00]]",noise
35,35,"[[-57.06618852 -49.41939309 -58.33973113 ... -50.81185632 -52.55054456
    0.        ]
 [ 71.41364818  81.71971127  84.07233415 ...  83.36010579  75.83900021
    0.        ]
 [-40.40292263 -45.23654441 -51.54845777 ... -43.26812003 -37.80591194
    0.        ]
 ...
 [ -0.38213715   0.83890246   5.32150433 ...  -0.50417106   0.8913364
    0.        ]
 [  4.11945191   3.99914408  -0.25507622 ...  -1.77223412  -1.76900122
    0.        ]
 [  2.41564725   3.34161093  -0.18052979 ...   4.01912794   4.28361348
    0.        ]]",noise
36,36,"[[-55.06331848 -52.57466188 -61.39656046 ... -58.05808795 -59.18382163
    0.        ]
 [ 72.61756908  81.3361621   82.71739519 ...  86.40139867  86.73174718
    0.        ]
 [-43.74774487 -40.76131559 -44.85606304 ... -44.37401749 -39.79904929
    0.        ]
 ...
 [ -1.55610254  -0.34826021   2.58463938 ...  -3.03734714   2.68819555
    0.        ]
 [ -0.11460926  -1.4583661   -2.28330442 ...  -4.82632299  -2.61137111
    0.        ]
 [ -3.52449406  -3.88560361   2.02812849 ...   5.66650102   3.13488455
    0.        ]]",noise
37,37,"[[-53.30613095 -47.67734821 -51.89317384 ... -61.99147811 -66.62864685
    0.        ]
 [ 78.75988883  85.65952932  88.4618665  ...  76.49438883  72.76883584
    0.        ]
 [-39.58031933 -43.23542029 -49.51694704 ... -49.88086328 -46.87562649
    0.        ]
 ...
 [  3.90950455   0.48897638  -1.38747222 ...   3.3142825    4.62359556
    0.        ]
 [  6.23027893   2.80117587  -2.30994099 ...   1.30499368   2.48924381
    0.        ]
 [  4.17863366   2.53154457  -0.49226467 ...  -1.12064751   3.81249003
    0.        ]]",noise
38,38,"[[-54.70975614 -51.42441041 -54.62317378 ... -57.4156336  -60.60327814
    0.        ]
 [ 77.09584159  81.29685927  81.92245601 ...  77.97116747  74.17861886
    0.        ]
 [-46.93520458 -50.97387655 -54.73598923 ... -45.83189169 -48.37935899
    0.        ]
 ...
 [  8.05505947   3.54717119  -1.04517383 ...   2.12010702   3.67330214
    0.        ]
 [  4.6080071    2.27394213  -2.14445176 ...  -3.11464249  -0.62868917
    0.        ]
 [ -0.12263468  -1.18526838   1.81197059 ...   2.82128634   5.62305532
    0.        ]]",noise
39,39,"[[-65.65057403 -55.67180686 -56.09347084 ... -58.63466036 -57.31400208
    0.        ]
 [ 71.12819013  82.73757773  86.11502799 ...  74.18685457  67.35295947
    0.        ]
 [-46.30527113 -39.01066485 -43.86291195 ... -50.5628531  -45.82732047
    0.        ]
 ...
 [  0.64461554   2.67367478  -1.95618376 ...   1.1850937    1.55712501
    0.        ]
 [  1.69791585   0.6909488   -4.06865768 ...   2.02377484  -6.62474796
    0.        ]
 [ -4.24075433  -2.57435714   4.59672899 ...   1.11225794  -3.00068531
    0.        ]]",noise
40,40,"[[-5.91959473e+01 -5.29063983e+01 -5.60699521e+01 ... -6.40068141e+01
  -5.72152104e+01  0.00000000e+00]
 [ 7.08680734e+01  7.54205855e+01  8.01080224e+01 ...  7.53308753e+01
   7.39828788e+01  0.00000000e+00]
 [-4.05233168e+01 -4.66228058e+01 -5.17688334e+01 ... -4.93879081e+01
  -4.93209059e+01  0.00000000e+00]
 ...
 [-5.61103145e+00 -4.39783997e+00  3.18716263e+00 ...  3.34893130e+00
  -1.85089799e+00  0.00000000e+00]
 [ 1.45184299e+00 -7.32479655e-01 -2.95944773e+00 ... -1.61040037e+00
  -4.22411507e+00  0.00000000e+00]
 [ 1.17836164e+00 -3.79215514e-02  3.71284746e+00 ... -6.62332253e-01
   7.85203178e-01  0.00000000e+00]]",noise
41,41,"[[-53.99015592 -49.87263104 -52.66556285 ... -59.76602087 -60.38073212
    0.        ]
 [ 75.39611153  81.01343177  82.79355191 ...  77.94256735  76.36712636
    0.        ]
 [-44.07996119 -46.31442651 -50.98273629 ... -44.48121731 -47.43917757
    0.        ]
 ...
 [ -0.50746289  -2.48763016   1.03356917 ...   2.33538933   4.67592469
    0.        ]
 [  0.26503597  -2.47687942  -4.34617413 ...  -2.14972518  -0.63834655
    0.        ]
 [ -6.03309218  -2.90792328   1.20956192 ...   1.44222926   7.29290754
    0.        ]]",noise
42,42,"[[-5.67619292e+01 -5.44636337e+01 -6.37049851e+01 ... -5.57170043e+01
  -5.97182645e+01  0.00000000e+00]
 [ 7.70104490e+01  8.26745068e+01  8.23456451e+01 ...  7.82407716e+01
   7.42628388e+01  0.00000000e+00]
 [-4.31212916e+01 -3.88985631e+01 -4.07667535e+01 ... -4.18742612e+01
  -4.29154863e+01  0.00000000e+00]
 ...
 [-4.47264902e+00 -1.89959230e+00  4.94210759e-01 ...  1.47109119e+00
  -6.17568108e-01  0.00000000e+00]
 [-3.37307325e+00 -1.97919475e+00  8.58538425e-01 ... -2.33639822e-03
  -4.98280650e+00  0.00000000e+00]
 [-4.76219279e+00 -5.77150815e-01  3.51151594e+00 ...  1.48369965e+00
  -4.24258115e+00  0.00000000e+00]]",noise
43,43,"[[-58.32693298 -58.56862411 -57.84127049 ... -57.63711644 -61.23883586
    0.        ]
 [ 74.31313093  75.23590667  79.92682304 ...  76.72401833  65.01568403
    0.        ]
 [-35.95179553 -41.65725314 -49.50259912 ... -44.7058824  -39.50639638
    0.        ]
 ...
 [  6.10894308   2.62710153   1.14811335 ...  -2.16667012  -1.31578764
    0.        ]
 [  4.83520632   2.41959922  -2.54366688 ...  -2.82643917  -1.20618145
    0.        ]
 [  1.59223933   1.8431156    1.36350954 ...  -3.91534739  -4.14133978
    0.        ]]",noise
44,44,"[[-47.98406326 -43.20098166 -50.52333717 ... -40.29968992 -43.45109649
    0.        ]
 [ 72.63584662  77.4631846   80.53601113 ...  85.123744    75.57559709
    0.        ]
 [-40.08028108 -42.26629724 -43.85172053 ... -33.85141867 -30.59303947
    0.        ]
 ...
 [  4.35014916   1.91202313   0.59219128 ...   1.94581597   1.66553686
    0.        ]
 [ -1.2517496   -0.72945704  -1.74309965 ...   5.33468525   3.24657549
    0.        ]
 [  0.99285105   1.92872432   1.89927841 ...   5.14345808   4.89718908
    0.        ]]",noise
45,45,"[[-6.46465701e+01 -5.88344201e+01 -5.67546617e+01 ... -5.22146835e+01
  -6.14332790e+01  0.00000000e+00]
 [ 7.45474737e+01  8.20869266e+01  8.54446822e+01 ...  8.29181749e+01
   8.70635353e+01  0.00000000e+00]
 [-4.51673782e+01 -4.93707217e+01 -5.51510250e+01 ... -5.38519934e+01
  -5.03418590e+01  0.00000000e+00]
 ...
 [ 5.76278607e+00  2.48944330e+00  3.81198748e+00 ...  4.13286825e+00
  -2.81914545e+00  0.00000000e+00]
 [ 4.80894851e+00 -5.95618263e-02 -4.42296398e+00 ... -7.80128157e+00
  -7.34413265e+00  0.00000000e+00]
 [ 2.81411490e+00  1.24504792e+00  1.44831513e+00 ...  5.62569487e+00
   9.32847993e+00  0.00000000e+00]]",noise
